1st Quarter 2022,,,,,,,,,,,,,,,
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen
,,,Diesel,,,,,,,,,,,,
ALBERTA #15,U.S.,$ 0.3803,$ 0.3803,$ 0.3803,$ 0.2749,$ -,$ -,$ 0.3803,$ 0.3803,$ 0.3803,$ 0.3803,$ 0.3803,$ 0.3803,$ -,$ -
,Can,$ 0.1300,$ 0.1300,$ 0.1300,$ 0.0940,$ -,$ -,$ 0.1300,$ 0.1300,$ 0.1300,$ 0.1300,$ 0.1300,$ 0.1300,$ -,$ -
,,,,,,,,,,,,,,,
BRITISH COLUMBIA #14,U.S.,$ 0.7154,$ 0.7812,$ 0.7154,$ 0.2831,$ 0.3626,$ 0.2579,$ 0.7154,$ 0.1448,$ 0.7154,$ 0.1667,$ 0.7812,$ 0.7812,$ -,$ -
,Can,$ 0.2446,$ 0.2671,$ 0.2446,$ 0.0968,$ 0.1240,$ 0.0882,$ 0.2446,$ 0.0495,$ 0.2446,$ 0.0570,$ 0.2671,$ 0.2671,$ -,$ -
,,,,,,,,,,,,,,,
MANITOBA #18,U.S.,$ 0.4095,$ 0.4095,$ 0.4095,$ 0.0878,$ 0.2925,$ 0.2925,$ 0.4095,$ 0.4095,$ 0.4095,$ 0.4095,$ 0.4095,$ 0.4095,$ -,$ -
,Can,$ 0.1400,$ 0.1400,$ 0.1400,$ 0.0300,$ 0.1000,$ 0.1000,$ 0.1400,$ 0.1400,$ 0.1400,$ 0.1400,$ 0.1400,$ 0.1400,$ -,$ -
,,,,,,,,,,,,,,,
NEW BRUNSWICK ,U.S.,$ 0.5765,$ 0.7657,$ 0.5765,$ 0.3770,$ 0.6809,$ 0.6809,$ 0.3179,$ 0.4463,$ 0.5765,$ 0.4463,$ 0.7657,$ 0.7657,$ -,$ -
,Can,$ 0.1971,$ 0.2618,$ 0.1971,$ 0.1289,$ 0.2328,$ 0.2328,$ 0.1087,$ 0.1526,$ 0.1971,$ 0.1526,$ 0.2618,$ 0.2618,$ -,$ -
,,,,,,,,,,,,,,,
NEWFOUNDLAND ,U.S.,$ 0.6826,$ 0.7965,$ -,$ 0.3858,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,Can,$ 0.2334,$ 0.2723,$ -,$ 0.1319,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,,,,,,,,,,,,,,,
NOVA SCOTIA ,U.S.,$ 0.4534,$ 0.4504,$ 0.4534,$ 0.2048,$ 0.4504,$ 0.4504,$ -,$ -,$ -,$ -,$ -,$ 0.4504,$ -,$ -
,Can,$ 0.1550,$ 0.1540,$ 0.1550,$ 0.0700,$ 0.1540,$ 0.1540,$ -,$ -,$ -,$ -,$ -,$ 0.1540,$ -,$ -
,,,,,,,,,,,,,,,
ONTARIO #5,U.S.,$ 0.4300,$ 0.4183,$ 0.4300,$ 0.1258,$ -,$ -,$ 0.4300,$ -,$ 0.4300,$ 0.4300,$ 0.4300,$ 0.4183,$ -,$ -
,Can,$ 0.1470,$ 0.1430,$ 0.1470,$ 0.0430,$ -,$ -,$ 0.1470,$ -,$ 0.1470,$ 0.1470,$ 0.1470,$ 0.1430,$ -,$ -
,,,,,,,,,,,,,,,
PRINCE EDWARD ISLAND #28,U.S.,$ 0.4416,$ 0.6493,$ 0.4416,$ -,$ 0.6195,$ 0.4194,$ 0.4416,$ 0.3439,$ 0.4416,$ 0.3586,$ 0.3583,$ -,$ -,$ -
,Can,$ 0.1510,$ 0.2220,$ 0.1510,$ -,$ 0.2118,$ 0.1434,$ 0.1510,$ 0.1176,$ 0.1510,$ 0.1226,$ 0.1225,$ -,$ -,$ -
,,,,,,,,,,,,,,,
QUEBEC ,U.S.,$ 0.5615,$ 0.5908,$ 0.5615,$ -,$ -,$ -,$ 0.5908,$ 0.5615,$ 0.5908,$ 0.5615,$ 0.5908,$ 0.5908,$ -,$ -
,Can,$ 0.1920,$ 0.2020,$ 0.1920,$ -,$ -,$ -,$ 0.2020,$ 0.1920,$ 0.2020,$ 0.1920,$ 0.2020,$ 0.2020,$ -,$ -
,,,,,,,,,,,,,,,
SASKATCHEWAN ,U.S.,$ 0.4388,$ 0.4388,$ 0.4388,$ 0.2633,$ -,$ -,$ 0.4388,$ 0.4388,$ 0.4388,$ 0.4388,$ 0.4388,$ 0.4388,$ -,$ -
,Can,$ 0.1500,$ 0.1500,$ 0.1500,$ 0.0900,$ -,$ -,$ 0.1500,$ 0.1500,$ 0.1500,$ 0.1500,$ 0.1500,$ 0.1500,$ -,$ -
,,,,,,,,,,,,,,,
ALABAMA ,U.S.,$ 0.2800,$ 0.2900,$ 0.2800,$ 0.2900,$ 0.0800,$ 0.0800,$ 0.2800,$ 0.2800,$ 0.2800,$ 0.2800,$ 0.2800,$ 0.2900,$ -,$ -
,Can,$ 0.0958,$ 0.0991,$ 0.0958,$ 0.0991,$ 0.0273,$ 0.0273,$ 0.0958,$ 0.0958,$ 0.0958,$ 0.0958,$ 0.0958,$ 0.0991,$ -,$ -
,,,,,,,,,,,,,,,
ARIZONA #8,U.S.,$ 0.1800,$ 0.2600,$ 0.1800,$ -,$ -,$ -,$ -,$ -,$ 0.1800,$ 0.1800,$ -,$ 0.2600,$ -,$ -
,Can,$ 0.0616,$ 0.0889,$ 0.0616,$ -,$ -,$ -,$ -,$ -,$ 0.0616,$ 0.0616,$ -,$ 0.0889,$ -,$ -
,,,,,,,,,,,,,,,
ARKANSAS #30,U.S.,$ 0.2450,$ 0.2850,$ 0.2450,$ 0.1650,$ 0.0500,$ 0.0500,$ 0.2450,$ 0.2450,$ 0.2450,$ 0.2450,$ -,$ 0.2850,$ -,$ -
,Can,$ 0.0837,$ 0.0975,$ 0.0837,$ 0.0564,$ 0.0171,$ 0.0171,$ 0.0837,$ 0.0837,$ 0.0837,$ 0.0837,$ -,$ 0.0975,$ -,$ -
,,,,,,,,,,,,,,,
CALIFORNIA #1,U.S.,$ -,$ 0.7270,$ -,$ 0.0600,$ 0.1017,$ 0.0887,$ 0.0900,$ 0.0900,$ 0.0900,$ 0.0900,$ 0.7270,$ 0.7270,$ -,$ -
,Can,$ -,$ 0.2486,$ -,$ 0.0206,$ 0.0348,$ 0.0303,$ 0.0308,$ 0.0308,$ 0.0308,$ 0.0308,$ 0.2486,$ 0.2486,$ -,$ -
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen
,,,Diesel,,,,,,,,,,,,
COLORADO ,U.S.,$ 0.2200,$ 0.2050,$ 0.2200,$ 0.1350,$ 0.1200,$ 0.1830,$ 0.2200,$ 0.2200,$ 0.2200,$ 0.2200,$ 0.2200,$ 0.2050,$ -,$ -
,Can,$ 0.0752,$ 0.0701,$ 0.0752,$ 0.0462,$ 0.0410,$ 0.0625,$ 0.0752,$ 0.0752,$ 0.0752,$ 0.0752,$ 0.0752,$ 0.0701,$ -,$ -
,,,,,,,,,,,,,,,
CONNECTICUT #16,U.S.,$ 0.2500,$ 0.4010,$ 0.2500,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2500,$ 0.2500,$ 0.2500,$ 0.2500,$ 0.2500,$ 0.4010,$ -,$ -
,Can,$ 0.0855,$ 0.1371,$ 0.0855,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0855,$ 0.0855,$ 0.0855,$ 0.0855,$ 0.0855,$ 0.1371,$ -,$ -
,,,,,,,,,,,,,,,
DELAWARE ,U.S.,$ 0.2300,$ 0.2200,$ 0.2300,$ 0.2200,$ 0.2200,$ 0.2200,$ 0.2300,$ 0.2300,$ 0.2200,$ 0.2200,$ 0.2200,$ 0.2200,$ -,$ -
,Can,$ 0.0787,$ 0.0752,$ 0.0787,$ 0.0752,$ 0.0752,$ 0.0752,$ 0.0787,$ 0.0787,$ 0.0752,$ 0.0752,$ 0.0752,$ 0.0752,$ -,$ -
,,,,,,,,,,,,,,,
FLORIDA #19,U.S.,$ 0.3650,$ 0.3637,$ 0.3650,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ 0.3637,$ -,$ -
,Can,$ 0.1248,$ 0.1244,$ 0.1248,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ 0.1244,$ -,$ -
,,,,,,,,,,,,,,,
GEORGIA ,U.S.,$ 0.2910,$ 0.3260,$ 0.2910,$ 0.2910,$ 0.2910,$ 0.2910,$ 0.2910,$ 0.2910,$ 0.2910,$ 0.2910,$ 0.2910,$ 0.3260,$ -,$ -
,Can,$ 0.0995,$ 0.1114,$ 0.0995,$ 0.0995,$ 0.0995,$ 0.0995,$ 0.0995,$ 0.0995,$ 0.0995,$ 0.0995,$ 0.0995,$ 0.1114,$ -,$ -
,,,,,,,,,,,,,,,
IDAHO #7,U.S.,$ 0.3200,$ 0.3200,$ -,$ 0.2320,$ 0.3490,$ 0.3200,$ -,$ -,$ -,$ -,$ 0.3200,$ 0.3200,$ -,$ 0.3200
,Can,$ 0.1094,$ 0.1094,$ -,$ 0.0793,$ 0.1193,$ 0.1094,$ -,$ -,$ -,$ -,$ 0.1094,$ 0.1094,$ -,$ 0.1094
,,,,,,,,,,,,,,,
ILLINOIS #27,U.S.,$ 0.5590,$ 0.6270,$ 0.5590,$ 0.6170,$ 0.6230,$ 0.4850,$ 0.5590,$ 0.5590,$ 0.5590,$ 0.5590,$ 0.5590,$ 0.6270,$ -,$ -
,Can,$ 0.1911,$ 0.2144,$ 0.1911,$ 0.2109,$ 0.2130,$ 0.1658,$ 0.1911,$ 0.1911,$ 0.1911,$ 0.1911,$ 0.1911,$ 0.2144,$ -,$ -
,,,,,,,,,,,,,,,
INDIANA ,U.S.,$ 0.3200,$ 0.5300,$ 0.3200,$ -,$ 0.5300,$ 0.5300,$ 0.3200,$ 0.3200,$ 0.3200,$ 0.3200,$ 0.3200,$ 0.5300,$ -,$ -
,Can,$ 0.1094,$ 0.1812,$ 0.1094,$ -,$ 0.1812,$ 0.1812,$ 0.1094,$ 0.1094,$ 0.1094,$ 0.1094,$ 0.1094,$ 0.1812,$ -,$ -
,,,,,,,,,,,,,,,
INDIANA SurChg ,U.S.,$ -,$ -,$ -,$ 0.5300,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,Can,$ -,$ -,$ -,$ 0.1812,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,,,,,,,,,,,,,,,
IOWA #26,U.S.,$ 0.3000,$ 0.3250,$ 0.3000,$ 0.3000,$ 0.3250,$ 0.3100,$ 0.2400,$ 0.3000,$ 0.2400,$ 0.3000,$ 0.3000,$ 0.3040,$ -,$ 0.6500
,Can,$ 0.1026,$ 0.1112,$ 0.1026,$ 0.1026,$ 0.1112,$ 0.1060,$ 0.0820,$ 0.1026,$ 0.0820,$ 0.1026,$ 0.1026,$ 0.1039,$ -,$ 0.2222
,,,,,,,,,,,,,,,
KANSAS ,U.S.,$ 0.2400,$ 0.2600,$ 0.2400,$ 0.2300,$ 0.2600,$ 0.2400,$ 0.2400,$ 0.2600,$ 0.1700,$ 0.2400,$ 0.2600,$ 0.2600,$ -,$ -
,Can,$ 0.0820,$ 0.0889,$ 0.0820,$ 0.0787,$ 0.0889,$ 0.0820,$ 0.0820,$ 0.0889,$ 0.0581,$ 0.0820,$ 0.0889,$ 0.0889,$ -,$ -
,,,,,,,,,,,,,,,
